#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2024-04-08 17:47:15 EDT     (caww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 12200500 SKAGIT RIVER NEAR MOUNT VERNON, WA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
USGS	12200500	241	1964-06-01		Yes	AWM	USGS	22.42	38500	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	38500	630	10100	3.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	242	1964-06-30		Yes	AWM	USGS	19.41	28400	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	28400	622	8320	3.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	243	1964-08-07		Yes	AWM	USGS	16.57	19300	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	19300	612	6390	3.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	244	1964-09-11		Yes	OCH	USGS	13.37	11400	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	11400	610	4110	2.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	245	1964-10-14		Yes	OCH	USGS	14.06	12800	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	12800	608	4600	2.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	246	1964-11-17		Yes	OCH	USGS	13.46	11700	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	11700	600	4370	2.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	247	1964-12-22		Yes	OCH	USGS	14.33	13100	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	13100	605	4900	2.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	248	1965-01-19		Yes	OCH	USGS	15.86	17700	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	17700	605	5860	3.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	249	1965-03-05		Yes	OCH	USGS	14.19	13400	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	13400	608	4900	2.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	250	1965-04-20		Yes	OCH	USGS	18.17	23500	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	23500	618	7060	3.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	251	1965-06-02		Yes	OCH	USGS	16.84	20300	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	20300	616	6430	3.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	252	1965-07-16		Yes	OCH/NNH	USGS	18.28	24400	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	24400	620	7460	3.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	253	1965-08-31 13:40:00	PDT	Yes	OCH	USGS	11.61	7080	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	7080	595	3180	2.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	254	1965-10-12 08:30:00	PDT	Yes	OCH	USGS	12.19	8460	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	8460	605	3440	2.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	255	1965-11-13 13:50:00	PST	Yes	DAS	USGS	14.38	13500	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	13500	610	4610	2.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	256	1966-01-14 15:45:00	PST	Yes	DAS	USGS	20.51	31200	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	31200	623	8780	3.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	257	1966-02-09 15:15:00	PST	Yes	DAS	USGS	14.50	14000	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	14000	610	4980	2.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	258	1966-03-23 11:00:00	PST	Yes	DAS	USGS	14.18	13500	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	13500	610	4910	2.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	259	1966-05-05 19:55:00	PDT	Yes	OCH/RQ	USGS	17.55	22700	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	22700	615	7020	3.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	260	1966-06-08 10:30:00	PDT	Yes	WF	USGS	18.58	25300	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	25300	620	7630	3.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	261	1966-07-27 07:45:00	PDT	Yes	RQ	USGS	14.98	14800	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	14800	609	5450	2.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	262	1966-09-07 08:30:00	PDT	Yes	RQ	USGS	12.05	8360	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	8360	600	3480	2.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	263	1966-10-11 09:10:00	PDT	Yes	RQ	USGS	12.19	8560	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	8560	596	3480	2.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	264	1966-11-28 12:30:00	PST	Yes	RQ	USGS	15.91	17400	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	17400	611	5970	2.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	265	1967-01-05 08:45:00	PST	Yes	RQ	USGS	17.27	21500	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	21500	619	6970	3.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	266	1967-02-11 14:00:00	PST	Yes	RQ	USGS	15.54	17200	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	17200	612	5820	2.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	267	1967-03-24 08:50:00	PST	Yes	RQ	USGS	19.43	28000	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	28000	624	8070	3.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	268	1967-05-10 12:45:00	PDT	Yes	RQ	USGS	16.52	19300	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	19300	613	6430	3.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	269	1967-06-20 10:15:00	PDT	Yes	GTH/JRW	USGS	26.82	57600	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	57600	637	13100	4.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	270	1967-11-19 10:50:00	PST	Yes	RQ	USGS	14.25	14100	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	14100	607	5180	2.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	273	1967-12-15 08:39:00	PST	Yes	RQ	USGS	15.29	16600	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	16600	611	5670	2.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	274	1968-01-26 13:37:00	PST	Yes	RQ	USGS	21.03	34900	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	34900	624	9040	3.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	275	1968-03-22 14:25:00	PST	Yes	RQ	USGS	13.10	11100	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	11100	604	4520	2.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	276	1968-05-17		Yes	RQ	USGS	15.45	17100	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	17100	610	5840	2.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	277	1968-06-19 13:20:00	PDT	Yes	RQ/SRE	USGS	19.76	30100	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	30100	625	8460	3.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	278	1968-09-23 15:45:00	PDT	Yes	RQ	USGS	14.06	13800	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	13800	606	4690	2.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	279	1968-12-02 13:15:00	PST	Yes	RQ	USGS	15.75	18100	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	18100	612	6060	2.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	280	1969-02-28 11:00:00	PST	Yes	SRE	USGS	13.38	12400	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	12400	605	4720	2.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	281	1969-04-11 11:00:00	PST	Yes	SRE	USGS	13.97	13400	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	13400	600	4920	2.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	282	1969-05-09 13:15:00	PDT	Yes	SRE	USGS	18.81	27600	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	27600	618	7900	3.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	283	1969-06-18 08:45:00	PDT	Yes	SRE	USGS	21.73	37300	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	37300	625	9710	3.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	284	1969-08-11 10:40:00	PDT	Yes	SRE	USGS	10.80	6470	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	6470	595	3190	2.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	285	1969-09-12 10:30:00	PDT	Yes	SRE	USGS	10.86	7020	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	7020	595	2930	2.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	286	1969-11-20 12:30:00	PST	Yes	SRE	USGS	12.95	11300	Unspecified			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	11300	600	4310	2.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	287	1969-12-21 11:10:00	PST	Yes	SRE	USGS	15.38	17200	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	17200	610	5860	2.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	288	1970-03-26 10:20:00	PST	Yes	SRE	USGS	13.61	12800	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	12800	600	4830	2.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	290	1970-09-18 08:00:00	PDT	Yes	WVF	USGS	14.82	17500	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	17500	601	5920	2.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	291	1970-10-21 08:50:00	PDT	Yes	WVF	USGS	11.82	9240	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	9240	590	3890	2.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	292	1970-12-18 08:15:00	PST	Yes	WVF	USGS	13.24	12600	Unspecified			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	12600	600	4960	2.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	293	1971-01-31		Yes	JWM/OCH	USGS	28.48	69400	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	69400	655	14500	4.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	294	1971-03-18 14:30:00	PST	Yes	JWM	USGS	12.98	11700	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	11700	604	4510	2.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	295	1971-05-12 16:00:00	PDT	Yes	JWM	USGS	20.90	35200	Unspecified			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	35200	625	9470	3.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	297	1971-09-17		Yes	JWM	USGS	10.56	6440	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	6440	595	3070	2.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	298	1971-12-22		Yes	JWM	USGS	14.08	14400	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	14400	607	5310	2.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	299	1972-02-10		Yes	JWM	USGS	15.04	16800	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	16800	610	5950	2.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12200500	300	1972-04-14		Yes	JWM	USGS	15.23	17000	Good			Unspecifed	NONE	1	Imported Channel 1	UNSP	QSCMM	unkno	17000	606	5930	2.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
